,f1,ap
0,0.8219178082191781,0.8967526635164966
1,0.7733333333333334,0.8869115592999539
2,0.7887323943661971,0.8665910887683497
3,0.8888888888888888,0.9562008277445873
4,0.7671232876712328,0.8210044725648232
5,0.7878787878787877,0.8419041840353814
6,0.7605633802816902,0.8568683099549189
7,0.7941176470588235,0.8852325031910413
8,0.7536231884057971,0.8517142010382206
9,0.8115942028985507,0.8707665291276481
10,0.75,0.8148110490251406
11,0.7761194029850746,0.8782627363532359
12,0.8,0.9039238431934647
13,0.8115942028985507,0.8599501769368744
14,0.7948717948717949,0.8742130723917914
15,0.8405797101449276,0.8155508281949995
16,0.7777777777777778,0.8990169945221957
17,0.8333333333333334,0.9244268506362773
18,0.8108108108108109,0.9231195642274391
19,0.8732394366197184,0.9318184295978001
20,0.7246376811594203,0.8362040289090883
21,0.7164179104477612,0.8441487436756865
22,0.7999999999999999,0.9072328682156638
23,0.7887323943661971,0.884843976436364
24,0.7826086956521738,0.8461020465397661
25,0.8450704225352113,0.9215839832914261
26,0.8611111111111112,0.9088033008229788
27,0.8108108108108109,0.8886283320998862
28,0.8219178082191781,0.8759056918111233
29,0.8285714285714286,0.9105176521419418
