,ID,Canomicalsmiles,pChEMBL
47,948,CCS(=O)(=O)N1CCC(n2c(=NC(=O)c3ccccc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,0
48,607,O=C(COc1ccc(OC(F)(F)F)cc1)NCc1nc(C(=O)N2CCc3c([nH]c4ccccc34)C2)cs1,0
49,1581,NC(=O)C1CCN(C(=O)c2csc(CNC(=O)COc3ccc(OC(F)(F)F)cc3)n2)CC1,0
50,331,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(CC)c2cc1N1CCN(C)CC1,1
51,184,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Cl,1
52,811,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)N(C)C(C)C)n1,0
53,1632,CC(C)Oc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n1)C(=O)N([C@H]1CCN(C)C1)C2=O,0
54,796,CC(=O)Nc1cccc(Nc2nccc(Nc3ccccc3-c3nnn[nH]3)n2)c1,0
55,490,Clc1cnc2nc1NCc1cc(Br)cc(c1)OCCCc1cccc(c1)N2,0
56,740,NS(=O)(=O)c1c(Nc2ccnc(Nc3ccccc3)n2)ccc2c1OCCO2,0
57,536,Cc1ccc(CNC(=O)c2csc(CNC(=O)COc3ccc(OC(F)(F)F)cc3)n2)cc1,0
58,321,Cc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
59,507,O=C(COc1ccc(OC(F)(F)F)cc1)NCc1nc(C(=O)NC2CCCCC2)cs1,0
60,650,COc1ccc(OC)c(CCNC(=O)c2csc(CNC(=O)COc3ccc(OC(F)(F)F)cc3)n2)c1,0
61,415,CC(C)(O)CNC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3ccc(F)cc3)[nH]c3ccc(CN4CCOCC4)cc32)CC1,1
62,529,CC(C)c1ccc(CC(=O)NCc2nc(C(=O)NCCc3ccccc3F)cs2)cc1,0
63,1406,CCN1CCc2cccc(Nc3nc(Nc4ccc(N5CCC(N6CCN(C)CC6)CC5)cc4OC)ncc3Cl)c2C1=O,0
64,967,COc1cc(Nc2ncc3ccn(-c4ccc(C(F)(F)F)cc4)c3n2)cc(OC)c1OC,0
65,1291,COc1cc(Nc2ncc3ccn(-c4cccc(CC(=O)N(C)C)c4)c3n2)cc(OC)c1OC,0
66,539,O=C(COc1ccc(OC(F)(F)F)cc1)NCc1nc(C(=O)NC2CCc3ccccc32)cs1,0
67,1159,COc1cccc(Nc2ccnc(Nc3ccc(N)c(C)c3)n2)c1S(N)(=O)=O,0
68,61,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCN(C)CC3)cc2OC)ncc1Cl,1
69,855,COc1ccc(Nc2ccnc(Nc3ccc(OC)c(OCCCN4CCCC4)c3)n2)c(S(N)(=O)=O)c1,0
70,1137,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccc(N3CCN(C(C)C)CC3)c3c2C(=O)N(C)CC3)n1,0
71,644,O=C(COc1ccc(OC(F)(F)F)cc1)NCc1nc(C(=O)NCc2ccc(F)c(C(F)(F)F)c2)cs1,0
72,799,c1cncc(CNc2cccc(Nc3nccc(Nc4ccccc4-c4nnn[nH]4)n3)c2)c1,0
73,857,CC(C)N1CCN(c2ccc(Nc3nc(Nc4ccc(N5CCOCC5)cc4)ncc3Cl)c3c2CN(C)C3=O)CC1,0
74,1636,CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cc3c(cc2F)CNC3=O)ncc1Cl,0
75,1219,COc1ccc(Nc2nccc(Nc3cccc(C)c3S(N)(=O)=O)n2)cc1N(C)C,0
76,1506,COCC(=O)Nc1ccc2cc1CCc1cccc(c1)Nc1ncc(Cl)c(n1)N2.O=C(O)C(F)(F)F,0
77,1593,CN1CCCC1CCNC(=O)c1csc(CNC(=O)COc2ccc(OC(F)(F)F)cc2)n1,0
78,763,Cc1cccc(Nc2nccc(Nc3ccc4c(c3S(N)(=O)=O)OCCO4)n2)c1,0
79,482,CC(Oc1cc(-c2ccc(C3(O)CCCOC3)nc2)cnc1N)c1cc(Cl)ccc1C(F)(F)F,0
80,1658,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(=NC(=O)C3CCCCC3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,0
81,42,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cccc3c2ccn3CCCN2CCOCC2)ncc1Br,1
82,249,COc1cc([N+](=O)[O-])ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
83,1265,COc1ccc(C)c(Nc2ncc3ccn(-c4ccc(Cl)nc4)c3n2)c1,0
84,888,CC(C)N1CCN(c2ccc(Nc3nc(Cl)ncc3Cl)c3c2CN(C)C3=O)CC1,0
85,1464,COc1cc(Nc2nccc(Nc3ccccc3S(=O)(=O)NCCO)n2)cc(OC)c1OC,0
86,723,COc1cc2c(-c3ccc(O)cc3)nc3[nH]nc(Cc4ccccc4C)c3c2cc1OC,0
87,1006,CNC(=O)C1(O)CCC(n2/c(=N/C(=O)c3ccc(F)cc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,0
88,461,COC(=O)Nc1nc2ccc(CN3CCCCC3)cc2n1[C@H]1CC[C@@H](C(=O)NC(C)C)CC1,1
89,411,C[C@H]1CN(C(=O)[C@H]2CC[C@@H](n3/c(=N/C(=O)c4ccccc4)[nH]c4cnc(OCCN5CCCCC5)cc43)CC2)CCN1,1
90,364,CCCC(C)n1c2cc(N3CCN(C)CC3)c(OC)cc2c(=O)c2c3ccc(C#N)cc3[nH]c21,1
91,1467,COc1ccc(Nc2nccc(Nc3ccccc3S(N)(=O)=O)n2)cc1OCCCn1ccnc1,0
92,1279,COc1cc(Nc2ncc3ccn(-c4ccc(NC(C)=O)c(C(=O)O)c4)c3n2)cc(OC)c1OC,0
93,1422,COc1cccc(Nc2ccnc(Nc3cccc(OCCN4CCCCC4)c3)n2)c1S(N)(=O)=O,0
94,8,COc1cc(N2CCN(C)CC2)c2cc1Nc1ncc(Cl)c(n1)Nc1cc(ccc1N(C)S(C)(=O)=O)CC2,1
95,428,CC(C)NC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3ccnnc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
96,633,COc1cccc(OC)c1CNC(=O)c1csc(CNC(=O)COc2ccc(OC(F)(F)F)cc2)n1,0
97,835,Cc1ccc(Nc2nccc(Nc3ccc4c(c3S(N)(=O)=O)OCCO4)n2)cc1OCC1CCCO1,0
98,1062,CCNC(=O)Cc1cccc(-n2ccc3cnc(Nc4cc(OC)c(OC)c(OC)c4)nc32)c1,0
99,58,CNC1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)c(OC)c2)C1,1
100,1559,O=C(COc1ccc(OC(F)(F)F)cc1)NCc1nc(C(=O)NCCc2ccncc2)co1,0
101,1359,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NCC(C)(C)C)n1,0
102,1154,COc1cc(Nc2ncc3ccn(-c4cccc(C(=O)NCCN(C)C)n4)c3n2)cc(OC)c1OC,0
103,1144,COc1cccc(Nc2nccc(Nc3ccccc3S(N)(=O)=O)n2)c1,0
104,1441,CCN(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,0
105,102,CCNC(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCN(C)CC3)cc2OC)ncc1Cl,1
